symbol,market
"REE","HOSE"
"RGC","UPCOM"
"RIC","UPCOM"
"RTB","UPCOM"
"S12","UPCOM"
"S27","UPCOM"
"S4A","HOSE"
"S55","HNX"
"S72","UPCOM"
"S74","UPCOM"
"S96","UPCOM"
"S99","HNX"
"SAB","HOSE"
"SAC","UPCOM"
"SAF","HNX"
"SAL","UPCOM"
"SAM","HOSE"
"SAP","UPCOM"
"SAS","UPCOM"
"SAV","HOSE"
"SB1","UPCOM"
"SBA","HOSE"
"SBD","UPCOM"
"SBH","UPCOM"
"SBL","UPCOM"
"SBM","UPCOM"
"SBR","UPCOM"
"SBS","UPCOM"
"SBT","HOSE"
"SBV","HOSE"
"SC5","HOSE"
"SCC","UPCOM"
"SCD","HOSE"
"SCG","HNX"
"SCI","HNX"
"SCJ","UPCOM"
"SCL","UPCOM"
"SCO","UPCOM"
"SCR","HOSE"
"SCS","HOSE"
"SCY","UPCOM"
"SD1","UPCOM"
"SD2","UPCOM"
"SD3","UPCOM"
"SD4","HNX"
"SD5","HNX"
"SD6","HNX"
"SD7","UPCOM"
"SD8","UPCOM"
"SD9","HNX"
"SDA","HNX"
"SDB","UPCOM"
"SDC","HNX"
"SDD","UPCOM"
"SDG","HNX"
"SDJ","UPCOM"
"SDK","UPCOM"
"SDN","HNX"
"SDP","UPCOM"
"SDT","HNX"
"SDU","HNX"
"SDV","UPCOM"
"SDX","UPCOM"
"SDY","UPCOM"
"SEA","UPCOM"
"SEB","HNX"
"SED","HNX"
"SEP","UPCOM"
"SFC","HOSE"
"SFG","HOSE"
"SFI","HOSE"
"SFN","HNX"
"SGB","UPCOM"
"SGC","HNX"
"SGD","HNX"
"SGH","HNX"
"SGI","UPCOM"
"SGN","HOSE"
"SGO","UPCOM"
"SGP","UPCOM"
"SGR","HOSE"
"SGS","UPCOM"
"SGT","HOSE"
"SHA","HOSE"
"SHB","HOSE"
"SHC","UPCOM"
"SHE","HNX"
"SHG","UPCOM"
"SHI","HOSE"
"SHN","HNX"
"SHP","HOSE"
"SHS","HNX"
"SHX","UPCOM"
"SIC","HNX"
"SID","UPCOM"
"SIG","UPCOM"
"SII","HOSE"
"SIP","UPCOM"
"SIV","UPCOM"
"SJ1","HNX"
"SJC","UPCOM"
"SJD","HOSE"
"SJE","HNX"
"SJF","HOSE"
"SJG","UPCOM"
"SJM","UPCOM"
"SJS","HOSE"
"SKG","HOSE"
"SKH","UPCOM"
"SKN","UPCOM"
"SKV","UPCOM"
"SLS","HNX"
"SMA","HOSE"
"SMB","HOSE"
"SMC","HOSE"
"SMN","HNX"
"SMT","HNX"
"SNC","UPCOM"
"SNZ","UPCOM"
"SP2","UPCOM"
"SPB","UPCOM"
"SPC","HNX"
"SPD","UPCOM"
"SPH","UPCOM"
"SPI","HNX"
"SPM","HOSE"
"SPP","UPCOM"
"SPV","UPCOM"
"SQC","UPCOM"
"SRA","HNX"
"SRB","UPCOM"
"SRC","HOSE"
"SRF","HOSE"
"SRT","UPCOM"
"SSB","HOSE"
"SSC","HOSE"
"SSF","UPCOM"
"SSG","UPCOM"
"SSH","UPCOM"
"SSI","HOSE"
"SSM","HNX"
"SSN","UPCOM"
"ST8","HOSE"
"STB","HOSE"
"STC","HNX"
"STG","HOSE"
"STH","UPCOM"
"STK","HOSE"
"STL","UPCOM"
"STP","HNX"
"STS","UPCOM"
"STT","UPCOM"
"STW","UPCOM"
"SVC","HOSE"
"SVD","HOSE"
"SVG","UPCOM"
"SVH","UPCOM"
"SVI","HOSE"
"SVN","HNX"
"SVT","HOSE"
"SWC","UPCOM"
"SZB","HNX"
